Name,lon,lat,District,District_c,Gr_ml_cm,Ho_size_r,Ho_size_u,Mg_fl_cl,Pop_2001,Pop_2011,Pop_2013,Pop_g_r,Pop_g_u,Population,Source,State,State_code,Township,Township_c,Village,Village_co,Village_fa,Village_hh,Village_po,Villagetra,Vt_code,Vt_hh,Vt_pop
Panglwe,98.6470338,23.3749891,Kum Lone,1504,20,6.98,5.59,1.14,237,262,,0.0066,0.0114,262,DRD,Shan (North),15,Kum Lone,150416,Panglwe,15041620003,,27,237,Manpyaine,,217,1851
Naung  Hi Kyi,97.0894107,20.3166451,Taunggyi,1601,19,6.05,5.46,1,403,445,,0.0066,0.0114,445,DRD,Shan (South),16,KyaukTaLone,160111,Naung  Hi Kyi,16011106004,134,134,403,Pin Ton,16011106,1632,6350
Holup(gawrahkar),97.0295032,23.1781171,Kyaukme,1503,20,6.98,5.59,1.14,69,76,,0.0066,0.0114,76,DRD,Shan (North),15,Nam san,150309,Holup(gawrahkar),15030922007,,38,69,Anaukkin,,650,3734
Naung-san-khar,99.12872,21.6868,Kyaington,1701,20,5.44,5.2,1.14,118,130,,0.0066,0.0114,130,DRD,Shan (East),17,Mongket,170102,Naung-san-khar,17010214005,23,19,118,Hoke-pon,17010214,89,562
Ho Tu,97.8212868,22.4548609,Lashio,1501,20,6.98,5.59,1.14,380,419,,0.0066,0.0114,419,DRD,Shan (North),15,Mongyai,150104,Ho Tu,15010410001,,111,380,Ho Tu,15010410,312,1184
Laukkai,97.8565666,23.5438568,Mu Se,1502,20,6.98,5.59,1.14,390,430,,0.0066,0.0114,430,DRD,Shan (North),15,Kaut Khine,150215,Laukkai,15021502004,114,114,390,Kaungkhar-Manpyain,15021502,160,1101
Athet Hpu Law,96.7494171,19.5444907,Taunggyi,1601,19,6.05,5.46,1,117,129,,0.0066,0.0114,129,DRD,Shan (South),16,phekhon,160103,Athet Hpu Law,16010308005,23,23,117,The Kyake,16010308,478,2780
Shansaytan,98.1103539,23.0214091,Lashio,1501,20,6.98,5.59,1.14,467,515,,0.0066,0.0114,515,DRD,Shan (North),15,Lashio,150101,Shansaytan,15010148004,85,0,467,Man Kyan,,1371,5120
Pe Maung,96.8106847,19.6781282,Taunggyi,1601,19,6.05,5.46,1,266,294,,0.0066,0.0114,294,DRD,Shan (South),16,phekhon,160103,Pe Maung,16010312028,47,44,266,Ye Nwe,16010312,1533,9855
Man Sang,97.9209203,22.4336427,Lashio,1501,20,6.98,5.59,1.14,683,754,,0.0066,0.0114,754,DRD,Shan (North),15,Mongyai,150104,Man Sang,15010409001,,134,683,Man Sang,15010409,367,1811
Naung kaw,98.2198306,23.0468361,Lashio,1501,20,6.98,5.59,1.14,150,166,,0.0066,0.0114,166,DRD,Shan (North),15,Lashio,150101,Naung kaw,15010167001,80,0,150,Naung kaw,,295,896
Kyauktakhar ***,96.764306,20.6344108,Taunggyi,1601,19,6.05,5.46,1,213,235,,0.0066,0.0114,235,DRD,Shan (South),16,Kalaw,160102,Kyauktakhar ***,16010224012,46,46,213,,16010224,1688,8650
Lwe Twle,97.3343847,20.1461892,,,19,6.05,5.46,1,0,0,,0.0066,0.0114,0,DRD,Shan (South),16,SiSai,,Lwe Twle,16010413002,0,0,0,Taung Shae,,0,0
Mingalardon,96.7188653,20.7407275,Taunggyi,1601,19,6.05,5.46,1,152,168,,0.0066,0.0114,168,DRD,Shan (South),16,Kalaw,160102,Mingalardon,16010225008,39,39,152,,16010225,418,1841
Hke`hkon,97.7359169,23.8993332,Muse,1502,20,6.98,5.59,1.14,954,1053,,0.0066,0.0114,1053,DRD,Shan (North),15,Namkham,150213,Hke`hkon,15021306002,,150,954,Hathin,,112,613
Wanku (thit),99.5504617,21.4257158,kyaington,1701,20,5.44,5.2,1.14,329,363,,0.0066,0.0114,363,DRD,Shan (East),17,kyaington,170101,Wanku (thit),17010131019,64,64,329,Pintouck,17010131,1898,2814
Kyauktain,96.482393,23.0611784,Kyaukme,1503,20,6.98,5.59,1.14,125,138,,0.0066,0.0114,138,DRD,Shan (North),15,Momeik,150310,Kyauktain,15031007003,,29,125,Nampaut,15031007,314,14423
Shwegu,96.7843815,21.0204755,Taunggyi,1601,19,6.05,5.46,1,121,134,,0.0066,0.0114,134,DRD,Shan (South),16,Kalaw,160102,Shwegu,16010223017,25,25,121,,16010223,1827,9637
Ho-nar,97.8412823,22.8097314,Lashio,1501,20,6.98,5.59,1.14,30,33,,0.0066,0.0114,33,DRD,Shan (North),15,Lashio,150101,Ho-nar,15010116001,5,0,30,Ho-nar,,117,444
Kunkha,96.8882629,22.9369927,Kyaukme,1503,20,6.98,5.59,1.14,553,610,,0.0066,0.0114,610,DRD,Shan (North),15,Momeik,150310,Kunkha,15031024001,,111,553,Kunkha,15031024,229,1150
Nam-Hu,98.7392425,23.4483577,Kum Lone,1504,20,6.98,5.59,1.14,1647,1818,,0.0066,0.0114,1818,DRD,Shan (North),15,Kum Lone,150416,Nam-Hu,15041603001,,205,1647,Namhu,,283,2339
Kathadu,96.8669587,19.2200435,Loikaw,1001,20,5.88,5.5,1.14,146,183,,0.0151,0.0157,183,DRD,Kayah,10,Hpruso,100103,Kathadu,10010312005,29,23,146,Rohtakho,10010312,352,1888
Naung Kouk ( N ),96.7367532,20.3754971,Taunggyi,1601,19,6.05,5.46,1,,0,,0.0066,0.0114,0,DRD,Shan (South),16,Naung Ta Yar,160112,Naung Kouk ( N ),16011204013,36,36,,Payar Phyu,16011204,1020,4949
Matupouk,96.7233838,20.5271538,Taunggyi,1601,19,6.05,5.46,1,177,195,,0.0066,0.0114,195,DRD,Shan (South),16,Kalaw,160102,Matupouk,16010218007,35,35,177,,,668,3002
Parkokhkelon,96.8522087,22.4027863,Kyaukme,1503,20,6.98,5.59,1.14,236,260,,0.0066,0.0114,260,DRD,Shan (North),15,Kyaukme,150306,Parkokhkelon,15030519005,,11,236,Chaungchauk,,289,2319
Naungphalan,99.6305959,21.1190366,kyaington,1701,20,5.44,5.2,1.14,148,163,,0.0066,0.0114,163,DRD,Shan (East),17,kyaington,170101,Naungphalan,17010118021,43,43,148,Mongkhon,17010118,838,3800
Man U,97.06607,23.1237,Kyaukme,MMR015D003,,,,,,198,202,,,198,MIMU+GAD,Shan (North),MMR015,Manton,MMR015019,Man U,211000,,33,202,Man Pun (Kachin),MMR015019018,,
Nantphalough,99.9684451,20.9172388,Mongpyek,1703,20,5.44,5.2,1.14,368,406,,0.0066,0.0114,406,DRD,Shan (East),17,Mongpyek,170310,Nantphalough,17031004001,74,74,368,Nantphalough,17031004,169,846
Inn Ne,96.5964239,20.3808495,Taunggyi,1601,19,6.05,5.46,1,,0,,0.0066,0.0114,0,DRD,Shan (South),16,Naung Ta Yar,160112,Inn Ne,16011210008,32,32,,Pin Khin,16011210,820,4262
Pakhanwet,100.071739,20.720671,Tachileik,1704,20,5.44,5.2,1.14,63,70,,0.0066,0.0114,70,DRD,Shan (East),17,Tarlay,170414,Pakhanwet,17041401029,14,20,63,Nayaung,17041401,1269,5583
Wanphon,97.6812994,20.5317112,Loilem,1602,19,6.05,5.46,1,165,182,,0.0066,0.0114,182,DRD,Shan (South),16,moehnae,160203,Wanphon,16020308005,10,10,165,Wanna,16020308,71,1104
Hweyoin-nwet,98.98126,21.73722,Kyaington,1701,20,5.44,5.2,1.14,35,39,,0.0066,0.0114,39,DRD,Shan (East),17,Mongket,170102,Hweyoin-nwet,17010211003,8,6,35,Pakhalone,17010211,254,1182
Nantnaw,99.5479776,21.2710148,kyaington,1701,20,5.44,5.2,1.14,61,67,,0.0066,0.0114,67,DRD,Shan (East),17,kyaington,170101,Nantnaw,17010119003,15,15,61,HwekweL,17010119,360,1825
Wingsung,97.8787398,23.0102801,Lashio,1501,20,6.98,5.59,1.14,170,188,,0.0066,0.0114,188,DRD,Shan (North),15,Lashio,150101,Wingsung,15010110002,11,0,170,Mankat,,135,1216
Loikyu,97.0782459,20.1279709,Taunggyi,1601,19,6.05,5.46,1,102,113,,0.0066,0.0114,113,DRD,Shan (South),16,Nyaungshwe,160105,Loikyu,16010531010,22,19,102,Banpyin,16010531,797,3706
Lwe Honk,97.1383157,20.8309154,Taunggyi,1601,19,6.05,5.46,1,155,171,,0.0066,0.0114,171,DRD,Shan (South),16,Hopong,160110,Lwe Honk,16011002004,35,28,155,Lwe Honk,16011002,1297,5361
Wan Kan,97.5560363,20.8696666,Taunggyi,1602,19,6.05,5.46,1,137,151,,0.0066,0.0114,151,DRD,Shan (South),16,Loi Lem,160201,Wan Kan,16020109005,18,18,137,Taung Nout,16020109,500,3425
Lum Kyuang,98.46205,22.74478,Lashio,MMR015D001,,,,,,0,0,,,0,GAD+MIMU,Shan (North),MMR015,Tangyan,MMR015004,Lum Kyuang,206959,,0,0,Nam Muse,MMR015004047,,
Yankyein,99.6302332,21.3944529,kyaington,1701,20,5.44,5.2,1.14,207,228,,0.0066,0.0114,228,DRD,Shan (East),17,kyaington,170101,Yankyein,17010107008,31,31,207,Yankyein,17010107,372,2787
Nahkude`,98.7339737,23.2711449,Kunlong,1504,20,6.98,5.59,1.14,104,115,,0.0066,0.0114,115,DRD,Shan (North),15,Ho Pan,150417,Nahkude`,15041711002,,18,104,Man Kawng(panglong),15041711,,
Na Mak Lang,97.9126175,22.4826687,Lashio,1501,20,6.98,5.59,1.14,222,245,,0.0066,0.0114,245,DRD,Shan (North),15,Mongyai,150104,Na Mak Lang,15010411002,,24,222,Nam Hsum,15010411,105,929
Kyauk-o,96.11706911,21.05181251,NULL,NULL,19,5.71,5.27,1,703,837,,0.0117,0.012,837,DRD,Mandalay,1,Wundwin,NULL,Kyautoe,1040202803,NULL,140,703,Tamarkan,NULL,673,3493
Pan Line,98.4705477,21.9533665,Loi Lem,1602,19,6.05,5.46,1,315,348,,0.0066,0.0114,348,DRD,Shan (South),16,Mai Shue,160208,Pan Line,16020811010,48,48,315,Maw May,16020811,431,4966
Kaung yong,97.7075227,22.8159173,Lashio,1501,20,6.98,5.59,1.14,4,4,,0.0066,0.0114,4,DRD,Shan (North),15,Lashio,150101,Kaung yong,15010144009,5,0,4,Khe-nim,,422,1745
Lukieh,97.5069306,22.9544324,kyaukme,1503,20,6.98,5.59,1.14,164,181,,0.0066,0.0114,181,DRD,Shan (North),15,namtu,150308,Lukieh,15030818002,,41,164,panchin,,374,1550
Phyu Char,96.76681,20.1625,Taunggyi,1601,19,6.05,5.46,1,248,274,,0.0066,0.0114,274,DRD,Shan (South),16,Pin Laung,160108,Phyu Char,16010805015,37,37,248,Hte Paung,16010805,623,1247
Kanmaine,98.5152111,23.4737769,Kum Lone,1504,20,6.98,5.59,1.14,214,236,,0.0066,0.0114,236,DRD,Shan (North),15,Kum Lone,150416,Kanmaine,15041615003,,25,214,Kanmain,,477,4413
Kyaukme,96.47534533,22.25258646,NULL,NULL,19,5.71,5.27,1,190,226,,0.0117,0.012,226,DRD,Mandalay,1,Pyinoolwin,NULL,Kyaukme,1010103403,NULL,71,190,NULL,NULL,NULL,NULL
Wai  Sa Naung,97.1839198,20.5399304,,,19,6.05,5.46,1,0,0,,0.0066,0.0114,0,DRD,Shan (South),16,SiSai,,Wai  Sa Naung,16010401015,0,0,0,Pon Inn,,0,0
Yegyi,96.21952355,21.48422523,Kyaukse,103,19,5.71,5.27,1,15740,18740,,0.0117,0.012,18740,DRD,Mandalay,1,Kyaukse,10301,Yegyi,1030105402,NULL,118,15740,NULL,10301054,303,2249
Thar-youth,97.1998035,19.9761497,Loikaw,1001,20,5.88,5.5,1.14,175,219,,0.0151,0.0157,219,DRD,Kayah,10,Loikaw,100101,Thar-youth,10010111012,,,175,Loi-lem-lay,10010111,899,4125
Namhka(Namhka bom),97.5239006,23.8381348,Banmaw,902,21,7.96,6.01,1.28,148,170,,0.0091,0.0144,170,DRD,Kachin,9,Mansi,90210,Namhka(Namhka bom),9021034002,22,20,148,NamtKhaPa,9021034,157,1160
Wanmai 1,99.5599185,21.2434013,kyaington,1701,20,5.44,5.2,1.14,136,150,,0.0066,0.0114,150,DRD,Shan (East),17,kyaington,170101,Wanmai 1,17010119012,19,19,136,HwekweL,17010119,360,1825
Tut Oo ( Ywyar Thit ),96.8869464,21.3539403,Taunggyi,1601,19,6.05,5.46,1,407,449,,0.0066,0.0114,449,DRD,Shan (South),16,Yarksaung,160107,Tut Oo ( Ywyar Thit ),16010711015,92,90,407,Par Mae,16010711,918,4017
Nakyauk,99.3211684,21.0789276,kyaington,1701,20,5.44,5.2,1.14,150,166,,0.0066,0.0114,166,DRD,Shan (East),17,kyaington,170101,Nakyauk,17010129012,18,18,150,Nankhet,17010129,443,2053
Line Kan,97.3090906,20.705602,Taunggyi,1601,19,6.05,5.46,1,201,222,,0.0066,0.0114,222,DRD,Shan (South),16,Hopong,160110,Line Kan,16011009010,40,32,201,San Hpu,16011009,459,3966
Namhpakka(4),97.8268841,23.6912639,Mu Se,1502,20,6.98,5.59,1.14,1618,1786,,0.0066,0.0114,1786,DRD,Shan (North),15,Kaut Khine,150215,Namhpakka(4),15021520004,245,245,1618,Namphatkar,15021520,1285,8890
Kyatok,100.125155,20.7550845,Tachileik,1704,20,5.44,5.2,1.14,88,97,,0.0066,0.0114,97,DRD,Shan (East),17,Tarlay,170414,Kyatok,17041403008,21,20,88,Monglin(east),17041403,469,2389
Na-lao,98.018426,23.0597768,Lashio,1501,20,6.98,5.59,1.14,161,178,,0.0066,0.0114,178,DRD,Shan (North),15,Lashio,150101,Na-lao,15010154004,12,0,161,Mong Kang,,205,2133
Wam Naung,98.3594017,21.8864302,Loi Lem,1602,19,6.05,5.46,1,112,124,,0.0066,0.0114,124,DRD,Shan (South),16,Mai Shue,160208,Wam Naung,16020802004,20,19,112,Nar San,16020802,245,1509
O Kone,96.7252949,21.0737708,Taunggyi,1601,19,6.05,5.46,1,211,233,,0.0066,0.0114,233,DRD,Shan (South),16,PinTaYa,160106,O Kone,16010603010,0,45,211,Maile,16010603,968,5466
Panphayshelkyin,99.5767954,21.2419779,kyaington,1701,20,5.44,5.2,1.14,135,149,,0.0066,0.0114,149,DRD,Shan (East),17,kyaington,170101,Panphayshelkyin,17010119001,25,25,135,HwekweL,17010119,360,1825
Nawngpat,97.5351938,23.5789363,Muse,1502,20,6.98,5.59,1.14,59,65,,0.0066,0.0114,65,DRD,Shan (North),15,Namkham,150213,Nawngpat,15021340003,,8,59,Se-no(loi),,27,249
Tongsam,97.2927611,22.6032832,Kyaukme,1503,20,6.98,5.59,1.14,214,236,,0.0066,0.0114,236,DRD,Shan (North),15,Hsipaw,150306,Tongsam,15030601001,43,0,214,teinzan,15030601,175,824
Kaw Lai,98.18979,22.63242,Lashio,MMR015D001,,,,,,142,145,,,142,GAD+MIMU,Shan (North),MMR015,Tangyan,MMR015004,Kaw Lai,206917,,31,145,Nawng Hkam (Mong Htwun),MMR015004044,,
Ngadegyi,96.430054,23.982016,Katha,0,20,6.51,5.41,1.14,1645,1960,,0.0118,0.0124,1960,DRD,Sagaing,0,Katha,0,Ngadegyi,0,299,280,1645,,0,1185,7135
Namtawng,100.484539,21.3342861,Mongpyek,1703,20,5.44,5.2,1.14,20,22,,0.0066,0.0114,22,DRD,Shan (East),17,Mongyu,170312,Namtawng,17031203011,6,6,20,Tarkyant,17031203,221,1050
Na He,97.9041829,22.5647081,Lashio,1501,20,6.98,5.59,1.14,84,93,,0.0066,0.0114,93,DRD,Shan (North),15,Mongyai,150104,Na He,15010405007,,28,84,Loi Ngun,15010405,463,1989
ManPang,97.7607288,23.8794705,Muse,1502,20,6.98,5.59,1.14,117,129,,0.0066,0.0114,129,DRD,Shan (North),15,Namkham,150213,ManPang,15021305002,,26,117,NaungHkan,,134,1070
Shalkyinponlone,99.5344325,21.8159769,Kyaington,1701,20,5.44,5.2,1.14,295,326,,0.0066,0.0114,326,DRD,Shan (East),17,Mongyan,170103,Shalkyinponlone,17010301001,92,80,295,Monglwe,17010301,861,4250
Wam Nar,97.9556277,21.6533624,Taunggyi,1601,19,6.05,5.46,1,310,342,,0.0066,0.0114,342,DRD,Shan (South),16,KyiThe,160211,Wam Nar,16021118012,38,38,310,Mine Nan,16021118,499,3942
Manhaung,97.9381369,23.8212072,Muse,1502,20,6.98,5.59,1.14,0,0,,0.0066,0.0114,0,DRD,Shan (North),15,Muse,0,Manhaung,15021215002,,0,0,,,0,0
Si thaung,96.7489103,24.1046713,Bamaw,902,21,7.96,6.01,1.28,468,537,,0.0091,0.0144,537,DRD,Kachin,9,Shwegu,90208,Si thaung,9020809001,60,60,468,Si thaung,9020809,240,1783
Nam sm,97.6107536,22.1363745,Kyaukme,1503,20,6.98,5.59,1.14,91,100,,0.0066,0.0114,100,DRD,Shan (North),15,Hsipaw,150306,Nam sm,15030631008,17,0,91,humye,15030631,127,651
Wansa,99.7248684,21.2453051,kyaington,1701,20,5.44,5.2,1.14,75,83,,0.0066,0.0114,83,DRD,Shan (East),17,kyaington,170101,Wansa,17010132010,17,17,75,Mong Lap,17010132,846,4324
Ho No,97.6340836,20.9249455,Loilem,1602,19,6.05,5.46,1,292,322,,0.0066,0.0114,322,DRD,Shan (South),16,NamSan,160202,Ho No,16020201010,55,55,292,Wam Pong,16020201,786,4255
Man lon(palaung),96.9693024,23.0651398,Kyaukme,1503,20,6.98,5.59,1.14,471,520,,0.0066,0.0114,520,DRD,Shan (North),15,Nam san,150309,Man lon(palaung),15030908001,,55,471,Manlone,,1687,1676
Min Pa Laung,96.4556349,20.9310585,Taunggyi,1601,19,6.05,5.46,1,439,484,,0.0066,0.0114,484,DRD,Shan (South),16,YwaNgan,160109,Min Pa Laung,16010922001,106,106,439,Ya Nae,16010922,259,1120
Loi Mook,97.5233989,20.8097839,Taunggyi,1602,19,6.05,5.46,1,356,393,,0.0066,0.0114,393,DRD,Shan (South),16,Loi Lem,160201,Loi Mook,16020109003,55,55,356,Taung Nout,16020109,500,3425
Namchatywama,98.3938897,24.0820073,Muse,1502,20,6.98,5.59,1.14,0,0,,0.0066,0.0114,0,DRD,Shan (North),15,Muse,0,Namchatywama,15021230001,,0,0,,,0,0
Panghka,98.0652961,23.9825992,Muse,1502,20,6.98,5.59,1.14,0,0,,0.0066,0.0114,0,DRD,Shan (North),15,Muse,0,Panghka,15021213002,,0,0,,,0,0
Honenantkite,100.017449,20.8736406,Mongpyek,1703,20,5.44,5.2,1.14,28,31,,0.0066,0.0114,31,DRD,Shan (East),17,Mongpyek,170310,Honenantkite,17031012002,7,6,28,Hyweshole,17031012,49,288
Myothit,97.1817941,22.8725899,Kyaukme,1503,20,6.98,5.59,1.14,2546,2810,,0.0066,0.0114,2810,DRD,Shan (North),15,Nam san,150309,Myothit,15030920001,,427,2546,Myothit,,605,3672
Nawng-yom,98.178329,23.32139,Lashio,1501,20,6.98,5.59,1.14,101,111,,0.0066,0.0114,111,DRD,Shan (North),15,Theinni,150102,Nawng-yom,15010208006,19,16,101,Kawngwaine,15010208,128,814
Ho-kat,97.3980209,22.9759132,kyaukme,1503,20,6.98,5.59,1.14,149,164,,0.0066,0.0114,164,DRD,Shan (North),15,namtu,150308,Ho-kat,15030809002,,49,149,namtaungkone,,240,1344
Nar Long,98.92403,21.61212,Kengtung,MMR016D001,,,,,,63,64,,,63,GAD+MIMU,Shan (East),MMR016,Matman,MMR016004,Nar Long,213214,,17,64,Tar Kaw Lay,MMR016004008,,
Hkaihsim,97.3666008,22.1160332,Kyaukme,1503,20,6.98,5.59,1.14,360,397,,0.0066,0.0114,397,DRD,Shan (North),15,Hsipaw,150306,Hkaihsim,15030643003,51,0,360,narlae(le),15030643,149,1059
Kongsong,96.9613806,22.764695,Kyaukme,1503,20,6.98,5.59,1.14,412,455,,0.0066,0.0114,455,DRD,Shan (North),15,Kyaukme,150306,Kongsong,15030563006,,67,412,Narpyaine,,307,1957
Nam Hok,98.1943814,22.0646272,Lashio,1501,20,6.98,5.59,1.14,64,71,,0.0066,0.0114,71,DRD,Shan (North),15,Mongyai,150104,Nam Hok,15010424021,,14,64,Man Kyu,15010424,415,2039
Yepu,96.9660335,20.0600188,Taunggyi,1601,19,6.05,5.46,1,400,441,,0.0066,0.0114,441,DRD,Shan (South),16,Nyaungshwe,160105,Yepu,16010533001,62,42,400,Yepu,16010533,340,1615
Kyauktalonengi,96.9252012,20.3626038,Taunggyi,1601,19,6.05,5.46,1,401,443,,0.0066,0.0114,443,DRD,Shan (South),16,Nyaungshwe,160105,Kyauktalonengi,16010524007,58,52,401,Kyauktai,16010524,441,1970
Yangmai,99.41339,21.71049,Kyaington,1701,20,5.44,5.2,1.14,300,331,,0.0066,0.0114,331,DRD,Shan (East),17,Mongket,170102,Yangmai,17010201007,48,45,300,Wankhoke,17010201,470,2700
Ohn Ka Yaing,96.6399966,21.4665575,Taunggyi,1601,19,6.05,5.46,1,260,287,,0.0066,0.0114,287,DRD,Shan (South),16,Yarksaung,160107,Ohn Ka Yaing,16010710002,37,31,260,Nan Lwe,16010710,56,378
Na-taung,97.4150628,23.1749468,kyaukme,1503,20,6.98,5.59,1.14,296,327,,0.0066,0.0114,327,DRD,Shan (North),15,namtu,150308,Na-taung,15030817005,,74,296,panchin,,374,1550
War Fhone,96.6306931,20.2608382,Taunggyi,1601,19,6.05,5.46,1,,0,,0.0066,0.0114,0,DRD,Shan (South),16,Naung Ta Yar,160112,War Fhone,16011212023,26,26,,Paw In,16011212,1272,6848
Chaungwa,96.5282643,23.9194315,kyaukme,1503,20,6.98,5.59,1.14,1646,1816,,0.0066,0.0114,1816,DRD,Shan (North),15,Mabaine,150311,Chaungwa,15031113001,,259,1646,chaungwa,,388,2216
Nyaung Sein,97.0348726,20.6258174,Taunggyi,1601,19,6.05,5.46,1,37,41,,0.0066,0.0114,41,DRD,Shan (South),16,KyaukTaLone,160111,Nyaung Sein,16011103011,12,12,37,Naung Kar,16011103,888,3306
Konglay,97.9173824,23.0750993,Lashio,1501,20,6.98,5.59,1.14,289,319,,0.0066,0.0114,319,DRD,Shan (North),15,Lashio,150101,Konglay,15010109004,68,0,289,Ho-nam,,396,1777
Hway Mu,97.6326793,21.2463327,Taunggyi,1601,19,6.05,5.46,1,252,278,,0.0066,0.0114,278,DRD,Shan (South),16,Lae Char,160206,Hway Mu,16020615003,50,50,252,Nam Toke,16020615,403,2158
Hkay Ninn,98.3346831,21.9044938,Loi Lem,1602,19,6.05,5.46,1,109,120,,0.0066,0.0114,120,DRD,Shan (South),16,Mai Shue,160208,Hkay Ninn,16020802006,25,25,109,Nar San,16020802,245,1509
Tarpartaw,98.7300433,23.4636652,Kum Lone,1504,20,6.98,5.59,1.14,692,764,,0.0066,0.0114,764,DRD,Shan (North),15,Kum Lone,150416,Tarpartaw,15041603002,,78,692,Namhu,,283,2339
Kun Kyaing,98.0726844,20.8119108,Loilem,1602,19,6.05,5.46,1,160,177,,0.0066,0.0114,177,DRD,Shan (South),16,NamSan,160202,Kun Kyaing,16020217005,31,31,160,Wam Naung,16020217,541,2961
Loi Hkam,96.850047,22.8835534,Kyaukme,1503,20,6.98,5.59,1.14,224,247,,0.0066,0.0114,247,DRD,Shan (North),15,Kyaukme,150306,Loi Hkam,15030549001,,72,224,Kwamsalun,,304,2758
Inntainlaipyin,96.8691331,20.4767969,Taunggyi,1601,19,6.05,5.46,1,1375,1517,,0.0066,0.0114,1517,DRD,Shan (South),16,Nyaungshwe,160105,Inntainlaipyin,16010522001,199,180,1375,Inntain,16010522,592,3514
Hoya,96.9489129,19.3267418,Loikaw,1001,20,5.88,5.5,1.14,597,748,,0.0151,0.0157,748,DRD,Kayah,10,Hpruso,100103,Hoya,10010313002,129,94,597,Hoya,10010313,377,2186
Ho Hway,97.1760165,20.3449776,,,19,6.05,5.46,1,0,0,,0.0066,0.0114,0,DRD,Shan (South),16,SiSai,,Ho Hway,16010407008,0,0,0,Par Law Par Kul,,0,0
Pan Nga,98.3957204,21.8180544,Loi Lem,1602,19,6.05,5.46,1,757,835,,0.0066,0.0114,835,DRD,Shan (South),16,Mai Shue,160208,Pan Nga,16020807007,127,127,757,Nam Taung,16020807,613,3957
Yanlu(lankhwe'),99.6234722,21.236327,kyaington,1701,20,5.44,5.2,1.14,405,447,,0.0066,0.0114,447,DRD,Shan (East),17,kyaington,170101,Yanlu(lankhwe'),17010120004,86,86,405,Mong sem,17010120,1636,7947
Namhsai-hkao,97.0903692,23.0036419,Kyaukme,1503,20,6.98,5.59,1.14,104,115,,0.0066,0.0114,115,DRD,Shan (North),15,Nam san,150309,Namhsai-hkao,15030906005,,19,104,Haryam,,332,2244
Wanmouke,99.5616383,21.3002106,kyaington,1701,20,5.44,5.2,1.14,423,467,,0.0066,0.0114,467,DRD,Shan (East),17,kyaington,170101,Wanmouke,17010115007,58,58,423,Yanlaw,17010115,767,4914
Pamook,99.23963,21.8043,Kyaington,1701,20,5.44,5.2,1.14,129,142,,0.0066,0.0114,142,DRD,Shan (East),17,Mongket,170102,Pamook,17010212036,26,22,129,Nant-yan-lone,17010212,882,5310
Yado,96.8383538,19.3249869,Loikaw,1001,20,5.88,5.5,1.14,162,203,,0.0151,0.0157,203,DRD,Kayah,10,Hpruso,100103,Yado,10010312001,35,31,162,Rohtakho,10010312,352,1888
Lwe Soung,97.4553276,20.4524848,,,19,6.05,5.46,1,0,0,,0.0066,0.0114,0,DRD,Shan (South),16,SiSai,,Lwe Soung,16010404003,0,0,0,Nar Khite,,0,0
Naung Bo,96.826055,21.2455751,Taunggyi,1601,19,6.05,5.46,1,241,266,,0.0066,0.0114,266,DRD,Shan (South),16,Yarksaung,160107,Naung Bo,16010708008,50,45,241,Hpaung Taw,16010708,641,2896
Naungkwe',99.1372446,21.3735108,Mongsek,1702,20,5.44,5.2,1.14,209,231,,0.0066,0.0114,231,DRD,Shan (East),17,Tontar,170205,Naungkwe',17020503003,30,30,209,Naungkwe',17020503,140,961
Hpahka,98.7386017,23.3828712,Kunlong,1504,20,6.98,5.59,1.14,230,254,,0.0066,0.0114,254,DRD,Shan (North),15,Ho Pan,150417,Hpahka,15041702002,,46,230,Hpathar,15041702,,
Wanlawng,99.603093,21.1778775,kyaington,1701,20,5.44,5.2,1.14,80,88,,0.0066,0.0114,88,DRD,Shan (East),17,kyaington,170101,Wanlawng,17010118007,16,16,80,Mongkhon,17010118,838,3800
Hpaknam,97.3985047,22.5653601,Kyaukme,1503,20,6.98,5.59,1.14,176,194,,0.0066,0.0114,194,DRD,Shan (North),15,Hsipaw,150306,Hpaknam,15030610006,35,0,176,naungang,15030610,401,1947
Nam Lam,98.2272969,22.115387,Lashio,1501,20,6.98,5.59,1.14,86,95,,0.0066,0.0114,95,DRD,Shan (North),15,Mongyai,150104,Nam Lam,15010424010,,17,86,Man Kyu,15010424,415,2039
Pyilon an,96.302845,21.322476,Kyaukse,103,19,5.71,5.27,1,889,1058,,0.0117,0.012,1058,DRD,Mandalay,1,Myitthar,10303,Pyilon an,1030305907,0,0,889, ,10303059,0,0
Loisar,97.8164096,22.7941894,Lashio,1501,20,6.98,5.59,1.14,49,54,,0.0066,0.0114,54,DRD,Shan (North),15,Lashio,150101,Loisar,15010116006,12,0,49,Ho-nar,,117,444
Man lenhkang,98.3684531,23.1465731,Lashio,1501,20,6.98,5.59,1.14,219,242,,0.0066,0.0114,242,DRD,Shan (North),15,Lashio,150101,Man lenhkang,15010160001,80,0,219,Namlinkham,,318,1375
GaMonDaung,96.47061097,19.801318,Nyapitaw,106,19,5.71,5.27,1,316,322,,0.0117,0.012,322,DRD,Nyapitaw,18,Pyinmana,10604,Gamondaung,0,0,52,316,MePauk,10604054,204,0
