Name,Lat,Lon,pop,ho_size,EI_SubArea,PLN_Cabang,PROVINSI,XY_Source,target_hou,full_popul,500mBufYN,450mBufYN,475mBufYN,400mBufYN,425mBufYN,350mBufYN,375mBufYN,newpop
8.2011E+11,1.15302,127.459136,32.90142,3.655737705,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.029508,1115,1,1,1,1,1,1,1,0
8.2011E+11,1.145248,127.463355,92.456476,3.852348993,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.161074,574,1,1,1,1,1,1,1,0
8.2011E+11,1.167188,127.481814,96.25,3.85,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.25,385,1,1,1,1,1,1,1,0
8.2011E+11,1.166214,127.478493,57.155241,3.810344828,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.258621,221,1,1,1,1,1,1,1,0
8.2011E+11,1.165864,127.47685,109.687365,4.21875,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.270833,405,1,1,1,1,1,1,1,0
8.2011E+11,1.188356,127.408904,223.25,4.961111111,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.25,893,1,1,1,1,1,1,1,0
8.2011E+11,1.209495,127.408939,47.738742,3.672222222,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.072222,661,1,1,1,1,1,1,1,0
8.2011E+11,1.258169,127.42389,1136,4.386100386,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,1,1136,1,1,1,1,1,1,1,0
8.2011E+11,1.268846,127.429166,688,4.617449664,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,1,688,1,1,1,1,1,1,1,0
8.2011E+11,1.113395,127.425058,166.54328,4.382716049,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.469136,355,1,1,1,1,1,1,1,0
8.2011E+11,1.148876,127.432129,9.521682,3.173913043,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.021739,438,1,1,1,1,1,1,1,0
8.2011E+11,1.153187,127.431891,47.973348,3.690265487,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.057522,834,1,1,1,1,1,1,1,0
8.2011E+11,1.138861,127.469225,17.635248,3.527027027,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.033784,522,1,1,1,1,1,1,1,0
8.2011E+11,1.143651,127.467882,21.732695,4.346534653,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.049505,439,1,1,1,1,1,1,1,0
8.2011E+11,1.134356,127.472118,81.5879,3.885135135,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.141892,575,1,1,1,1,1,1,1,0
8.2011E+11,1.131411,127.476134,8.85096,4.049689441,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.015528,570,1,1,1,1,1,1,1,0
8.2011E+11,1.128194,127.47832,11.397552,4.049689441,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.015528,734,1,1,1,1,1,1,1,0
